% Model:              shifted-lattice-Si-orthotrope_alp00.mph
% Version:            COMSOL 6.0.0.318
% Date:               Sep 22 2022, 16:28
% Dimension:          1
% Nodes:              861
% Expressions:        50
% Description:        Global
% X,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency
0,0,760.3405397986651,2536.069018789119,8.714336998359066E9,1.037372757349178E10,1.5330047792636106E10,1.6858049443636444E10,1.7893428316002197E10,1.8188615548600845E10,1.891184744873982E10,1.900638528303269E10,2.013410775616388E10,2.0279332294267193E10,2.141600345821264E10,2.196031246947227E10,2.207571624946838E10,2.3357226435586056E10,2.441560797239623E10,2.6678407020622486E10,2.679674883720691E10,2.732796678409361E10,2.7597076742314316E10,2.83018480331839E10,2.8383016303319405E10,2.858123617709016E10,2.9726387763531662E10,3.090476146085573E10,3.1415873689588486E10,3.2187174638787586E10,3.297748266055204E10,3.451616863386224E10,3.5298323013593094E10,3.565291033561611E10,3.574957909202915E10,3.5915692819628876E10,3.619402216945246E10,3.625202897899452E10,3.710650077352652E10,3.77559608023379E10,3.897644244744646E10,3.92477372936764E10,3.958833279324014E10,4.0027510601645134E10,4.055451342737424E10,4.132812017930365E10,4.144119103762198E10,4.189185086363344E10,4.199097354199011E10,4.2005530665327324E10,4.283133586314922E10
392699.0816987242,9246939.83098159,1.2333098593068163E8,4.081117205572102E8,8.721601699966581E9,1.0374860777397976E10,1.5314429997928904E10,1.6854834642453835E10,1.789529785392447E10,1.818110868034291E10,1.8893863805342587E10,1.9008967594472103E10,2.014998125919375E10,2.0280215242766235E10,2.14229480466371E10,2.197913739834872E10,2.2077316775769234E10,2.3357855177087433E10,2.4416801094162735E10,2.6537735272383274E10,2.693712726456554E10,2.7326601443910507E10,2.7591243831018364E10,2.8301342882097153E10,2.8391443639321175E10,2.8579111938021313E10,2.9733755803318825E10,3.0904776427703316E10,3.1417264045476658E10,3.2188840136947746E10,3.2977705976843422E10,3.451057391196231E10,3.529223863076261E10,3.565299500833713E10,3.574153388846393E10,3.59196435680771E10,3.620927772214203E10,3.625203528274592E10,3.7052405045586395E10,3.7741608062382385E10,3.902592967894641E10,3.9250225672886314E10,3.95819559841941E10,4.002418599672616E10,4.0555272752677895E10,4.132467552606939E10,4.1428699833543625E10,4.189049548331026E10,4.199053927728743E10,4.199744275771081E10,4.280819633005493E10
785398.1633974484,3.685734314807522E7,2.467311260400429E8,8.159559692595625E8,8.743226516274918E9,1.0378262477416174E10,1.5268243501000154E10,1.6845283350809683E10,1.7900831099358788E10,1.8158887880956444E10,1.8841230369990505E10,1.9016605762082138E10,2.019700897735408E10,2.028286778887333E10,2.1443459327521034E10,2.203428117934436E10,2.2082173686631447E10,2.335976197484187E10,2.4420387636019505E10,2.635124212897084E10,2.712270841326753E10,2.7322448391282623E10,2.7574433448464233E10,2.83001034873398E10,2.841603845128865E10,2.8572752177790203E10,2.975562727079598E10,3.090483695135692E10,3.142142881727966E10,3.219384314707858E10,3.2978380110102695E10,3.4493997073175095E10,3.527431778653512E10,3.565322222400706E10,3.572051433968935E10,3.593102492249137E10,3.6251705243641914E10,3.6252055440106346E10,3.690453086677897E10,3.769941683326524E10,3.916000319934962E10,3.925679421172516E10,3.9562908410274414E10,4.001455955181717E10,4.055747645157285E10,4.1315162640442215E10,4.1392854987193634E10,4.188644629356612E10,4.194727713218862E10,4.201526806564354E10,4.274115342061244E10
1178097.2450961727,8.244782901746033E7,3.702687043392457E8,1.22326334405222E9,8.778711250073515E9,1.0383938922813164E10,1.5193361143142004E10,1.6829666208645891E10,1.790982880206284E10,1.812281555217795E10,1.8757481461959206E10,1.9028983173746174E10,2.027351342559886E10,2.0287300733341244E10,2.147660063945489E10,2.20904595165629E10,2.2122167975634956E10,2.3363007656163605E10,2.4426390021330894E10,2.6162079592289955E10,2.7310243605088E10,2.7315348342074757E10,2.75484019218264E10,2.829890493633683E10,2.84550477421079E10,2.8562195478117958E10,2.9791345524568695E10,3.090498982650447E10,3.142834944345397E10,3.220220331942425E10,3.297951816838107E10,3.4467038790181305E10,3.524538111037543E10,3.565348777979221E10,3.569269820735339E10,3.594859162294972E10,3.625209320294257E10,3.631447864011802E10,3.66915775907134E10,3.763177355678003E10,3.926498044937379E10,3.93500623067814E10,3.953142550056232E10,3.999975979070138E10,4.056091650325491E10,4.130111683706907E10,4.1337357368367226E10,4.187975111202445E10,4.188074378079266E10,4.204088752607078E10,4.263620633048556E10
1570796.3267948967,1.4540454475581077E8,4.94010256536914E8,1.6297605636530082E9,8.827246720236551E9,1.0391900476416111E10,1.5092532228641392E10,1.6808407158465073E10,1.7922031917146442E10,1.807421718155605E10,1.864739020292938E10,1.904560255771046E10,2.0293531088084568E10,2.0376997586761642E10,2.1520901412275936E10,2.2102484157621784E10,2.223795200507171E10,2.336769064788064E10,2.4434848776126026E10,2.597261403352922E10,2.730507370587451E10,2.7497203461216328E10,2.7515320268982864E10,2.8298880290725666E10,2.8506305625563545E10,2.854750520480863E10,2.983993710015067E10,3.0905312801720394E10,3.143799604958423E10,3.2213953632080864E10,3.2981143926122524E10,3.443063131053289E10,3.520634665502854E10,3.5653492019454544E10,3.5663110658665146E10,3.597068765660674E10,3.6252154869710106E10,3.639155964213831E10,3.643777269806857E10,3.754209343256493E10,3.92713138038965E10,3.948786157007738E10,3.95721711249937E10,3.9981858886743E10,4.0565289624495384E10,4.126600090707133E10,4.128224990585815E10,4.1799424002982864E10,4.187047974856447E10,4.207073752994369E10,4.250065709676741E10
1963495.4084936208,2.249172197809398E8,6.180196754053674E8,2.0351684810063305E9,8.887747979276476E9,1.0402161535555666E10,1.4968975641810207E10,1.6782048582210398E10,1.793718827425417E10,1.801474786046369E10,1.8515973419469765E10,1.9065825711202007E10,2.0301580649389816E10,2.0504484686580482E10,2.1574457427168247E10,2.211872948488608E10,2.2376506762070507E10,2.3373942607645485E10,2.4445827934076927E10,2.578349549449617E10,2.7291379713851063E10,2.7477232982242516E10,2.768270591004667E10,2.8301335550916172E10,2.8528768183848755E10,2.856777390725495E10,2.9900245624094723E10,3.0905914225083214E10,3.1450328955471756E10,3.2229140308963253E10,3.2983295004237938E10,3.438594462254883E10,3.515786931954526E10,3.563462697944634E10,3.565217756718238E10,3.599555905890294E10,3.615932680880899E10,3.6252249356892204E10,3.647878665023339E10,3.743435021695912E10,3.927199652947837E10,3.94326488848376E10,3.981116760151649E10,3.9963863768987885E10,4.057024540215414E10,4.1181720680396484E10,4.125276615483863E10,4.1716851206931015E10,4.185871001542508E10,4.210220322425076E10,4.2341292477352165E10
2356194.4901923453,3.2002048597158504E8,7.423572907123677E8,2.4392000408382463E9,8.958894704893974E9,1.0414740420811506E10,1.482601455801657E10,1.6751212029353662E10,1.7946256748095898E10,1.7955095828175137E10,1.8367830707057156E10,1.9088919411996708E10,2.0311474132560776E10,2.0652839534721153E10,2.1635021070386284E10,2.213989634474566E10,2.2533076148700962E10,2.3381922437575405E10,2.445942417042143E10,2.5595061395146194E10,2.7274063341698643E10,2.7435808728181515E10,2.7866109112264503E10,2.8307568288337395E10,2.850609300202241E10,2.8637790499848328E10,2.9971053956415676E10,3.090693254044319E10,3.146530062589101E10,3.2247821786589005E10,3.298602795887861E10,3.433427703240434E10,3.510013041385656E10,3.560855256554372E10,3.564266592202441E10,3.587205814735081E10,3.602149255295092E10,3.625238830503034E10,3.657340067477937E10,3.7312812525413155E10,3.926364180095127E10,3.936626251517194E10,3.99492812863181E10,4.005810464506557E10,4.057542998130394E10,4.108656902042984E10,4.119894535190046E10,4.1652879245578674E10,4.184450966304622E10,4.2133640934067795E10,4.216362690506198E10
2748893.571891069,4.2963784776260537E8,8.670789135783736E8,2.841558163487509E9,9.039174417792435E9,1.0429659232062483E10,1.466681691337119E10,1.6716560270984259E10,1.787067291615506E10,1.7975617073988922E10,1.820685639740413E10,1.911410154096249E10,2.0323237039967297E10,2.081901256981429E10,2.170007185862172E10,2.2166949907645348E10,2.2703546582516186E10,2.3391808824950333E10,2.4475781844417736E10,2.5407550540708683E10,2.7253017135889736E10,2.7392308193396675E10,2.8046793838842983E10,2.831872470609287E10,2.8479608061458042E10,2.8715100436885998E10,3.005117243108935E10,3.0908535561939316E10,3.148285792943143E10,3.2270065629239765E10,3.2989426068607635E10,3.4276950781839893E10,3.503276113139249E10,3.5513522546039276E10,3.558528465958671E10,3.569276435110434E10,3.604679092557191E10,3.625258622717816E10,3.6673482904895065E10,3.718200238713978E10,3.924405270351072E10,3.9289198079728455E10,3.994124239601411E10,4.030761504299447E10,4.058051694698855E10,4.098198199297426E10,4.11072101828114E10,4.162538587844999E10,4.182791557810963E10,4.197186253732013E10,4.216411091318803E10
3141592.6535897935,5.52624183094031E8,9.922348337526609E8,3.2419335380815477E9,9.12692478941048E9,1.0446943671046318E10,1.4494249391848503E10,1.6678764705261553E10,1.7789922993758236E10,1.799867329079733E10,1.8036202826228027E10,1.9140583011883846E10,2.0336893521897705E10,2.10001899824582E10,2.1766900306079025E10,2.220111949223485E10,2.288445767768069E10,2.3403791517957695E10,2.4495117940672447E10,2.5221160121268448E10,2.7228264872826664E10,2.734764692028693E10,2.8224103466513508E10,2.8335712013211845E10,2.8449459528280632E10,2.8798791633204414E10,3.013948884178911E10,3.0910919340851425E10,3.1502944559066864E10,3.2295941671375168E10,3.299361109222579E10,3.4215229524012085E10,3.495484983691992E10,3.521233564493361E10,3.5564748376396355E10,3.56772436477813E10,3.606962740719109E10,3.625286070785246E10,3.6777593968479065E10,3.704681246687661E10,3.9201962871062614E10,3.921279230940825E10,3.9941592848933235E10,4.055630930529788E10,4.0585223625780136E10,4.086903140455317E10,4.09788746155845E10,4.1635839978575645E10,4.176913237187458E10,4.180891163507429E10,4.2193126137745544E10
3534291.7352885175,6.878036885325855E8,1.1178687563872502E9,3.640002309554074E9,9.220372471939823E9,1.0466622829343294E10,1.4310820827845026E10,1.6638480086106194E10,1.7705880093322227E10,1.7858364337692596E10,1.8024230071700443E10,1.9167602995874443E10,2.035246458127432E10,2.1193862184078396E10,2.1832795661051453E10,2.2243762308268944E10,2.307287461090582E10,2.3418061617637836E10,2.4517764341153946E10,2.5036067780089E10,2.7199971079657627E10,2.7302477943906437E10,2.8359167095871147E10,2.839732086266065E10,2.8415809311046284E10,2.888821056379848E10,3.0234986346175125E10,3.0914306254053E10,3.152550346998171E10,3.2325508739257904E10,3.2998761013621353E10,3.415026515749113E10,3.4865010778920235E10,3.489012244732605E10,3.554664946086974E10,3.5676761424419846E10,3.608779264118589E10,3.625323266582986E10,3.6884564044224236E10,3.6912721262480644E10,3.910507681959366E10,3.917114810753718E10,3.995050625758711E10,4.0589315209108246E10,4.0748602495143936E10,4.080187504972907E10,4.082522870737621E10,4.1557808533973946E10,4.167475515486415E10,4.1787406609417336E10,4.2220478197013115E10
